1518;245;0;19
1519;245;0;5
1520;454;0;4
1521;454;0;12
1522;454;0;21
1523;278;0;17
1524;278;0;14
1525;507;0;10
1526;507;0;17
1527;507;0;3
1528;507;0;16
1529;380;0;2
1530;380;0;17
1531;373;0;6
1532;368;0;15
1533;368;0;22
1534;368;0;22
1535;368;0;18
1536;472;0;9
1537;472;0;4
1538;472;0;5
1539;229;0;15
1540;229;0;1
1541;462;1;21
1542;462;1;1
1543;325;1;19
1544;325;1;4
1545;325;1;1
1546;325;1;10
1547;382;1;13
1548;382;1;9
1549;413;1;2
1550;413;1;5
1551;413;1;16
1552;364;1;12
1553;225;1;18
1554;225;1;2
1555;225;1;5
1556;225;1;18
1557;243;1;17
1558;384;1;5
1559;384;1;17
1560;384;1;12
1561;384;1;3
1562;485;1;4
1563;485;1;6
1564;485;1;21
1565;485;1;17
1566;248;1;19
1567;349;2;18
1568;231;2;21
1569;231;2;16
1570;231;2;15
1571;260;2;8
1572;260;2;6
1573;260;2;11
1574;260;2;21
1575;308;2;22
1576;308;2;4
1577;308;2;14
1578;268;2;16
1579;268;2;14
1580;430;2;12
1581;430;2;16
1582;430;2;6
1583;430;2;1
1584;324;2;9
1585;324;2;12
1586;324;2;7
1587;255;2;9
1588;255;2;3
1589;255;2;14
1590;500;2;1
1591;500;2;19
1592;234;2;16
1593;441;3;20
1594;441;3;8
1595;417;3;21
1596;417;3;19
1597;417;3;11
1598;238;3;7
1599;238;3;3
1600;240;3;21
1601;240;3;3
1602;240;3;20
1603;396;3;7
1604;396;3;20
1605;396;3;15
1606;451;3;19
1607;382;3;1
1608;382;3;12
1609;382;3;4
1610;382;3;8
1611;493;3;22
1612;407;3;20
1613;500;4;13
1614;500;4;3
1615;500;4;1
1616;232;4;1
1617;232;4;19
1618;232;4;6
1619;232;4;7
1620;444;4;19
1621;444;4;17
1622;444;4;15
1623;344;4;7
1624;344;4;22
1625;237;4;12
1626;237;4;12
1627;206;4;7
1628;206;4;10
1629;206;4;9
1630;327;4;7
1631;327;4;21
1632;327;4;6
1633;498;4;5
1634;498;4;5
1635;387;4;20
1636;387;4;8
1637;387;4;11
1638;513;4;13
1639;513;4;10
1640;513;4;21
1641;462;5;19
1642;221;5;1
1643;221;5;14
1644;221;5;2
1645;376;5;2
1646;376;5;3
1647;502;5;6
1648;502;5;4
1649;502;5;22
1650;423;5;10
1651;423;5;14
1652;423;5;14
1653;220;5;5
1654;399;5;16
1655;399;5;22
1656;455;5;11
1657;455;5;2
1658;455;5;2
1659;455;5;20
1660;215;5;10
1661;215;5;4
1662;215;5;14
1663;215;5;16
1664;282;5;10
1665;282;5;7
1666;282;5;15
1667;262;6;6
1668;262;6;18
1669;262;6;7
1670;262;6;8
1671;323;6;18
1672;323;6;12
1673;385;6;1
1674;444;6;21
1675;306;6;16
1676;306;6;20
1677;251;6;9
1678;251;6;22
1679;251;6;6
1680;292;6;2
1681;348;6;22
1682;513;6;4
1683;513;6;9
1684;513;6;15
1685;486;6;2
1686;486;6;12
1687;486;6;14
1688;486;6;12
1689;291;7;17
1690;291;7;18
1691;378;7;9
1692;378;7;20
1693;408;7;10
1694;284;7;6
1695;265;7;1
1696;265;7;20
1697;322;7;11
1698;322;7;16
1699;322;7;6
1700;322;7;3
1701;304;7;13
1702;304;7;5
1703;433;7;14
1704;276;7;6
1705;276;7;7
1706;276;7;4
1707;268;7;14
1708;268;7;19
1709;268;7;10
1710;268;7;13
1711;309;8;16
1712;309;8;11
1713;343;8;21
1714;343;8;12
1715;343;8;3
1716;386;8;21
1717;386;8;18
1718;505;8;18
1719;289;8;21
1720;289;8;15
1721;289;8;4
1722;289;8;21
1723;425;8;16
1724;425;8;22
1725;425;8;5
1726;425;8;2
1727;246;8;9
1728;246;8;4
1729;254;8;2
1730;334;8;17
1731;403;8;19
1732;514;9;19
1733;514;9;19
1734;372;9;4
1735;372;9;11
1736;372;9;17
1737;417;9;16
1738;417;9;1
1739;417;9;19
1740;417;9;15
1741;351;9;1
1742;351;9;18
1743;382;9;8
1744;382;9;14
1745;382;9;22
1746;365;9;15
1747;206;9;11
1748;244;9;8
1749;244;9;8
1750;504;9;13
